LS701,LS702,T701,T702,T703,T704,T706,T708,T709,T711,T712,T705,FT703,FT704,PDI701,PDI702,PY23,FYI702
1.0,1.0,295.297,85.442,74.461,80.528,80.43,75.253,73.031,67.299,67.159,67.31,0.114,0.006,0.678,3.369,598.592,3.902
1.0,1.0,295.297,85.506,74.504,80.57,80.451,75.253,73.074,67.299,67.117,67.31,0.099,0.011,0.679,3.382,598.727,2.732
1.0,1.0,295.32,85.506,74.483,80.528,80.43,75.21,73.053,67.299,67.159,67.31,0.018,0.229,0.664,3.375,598.987,3.902
1.0,1.0,295.252,85.421,74.461,80.528,80.451,75.253,73.031,67.299,67.096,67.31,0.005,0.212,0.556,3.297,599.247,3.556
1.0,1.0,295.297,85.421,74.504,80.528,80.473,75.253,73.053,67.278,67.117,67.31,0.005,0.198,0.609,3.336,599.417,2.735
1.0,1.0,295.32,85.485,74.483,80.57,80.451,75.232,73.053,67.32,67.138,67.289,0.005,0.189,0.66,3.42,599.498,3.899
1.0,1.0,295.275,85.442,74.504,80.528,80.451,75.232,73.074,67.32,67.117,67.31,0.005,0.182,0.65,3.416,599.696,3.646
1.0,1.0,295.252,85.421,74.461,80.507,80.43,75.253,73.031,67.32,67.138,67.31,0.005,0.171,0.638,3.411,599.974,2.927
1.0,1.0,295.297,85.464,74.483,80.549,80.473,75.296,73.053,67.32,67.138,67.289,0.131,0.165,0.662,3.498,600.234,3.643
1.0,1.0,295.365,85.464,74.504,80.507,80.43,75.21,73.074,67.341,67.159,67.289,1.116,0.162,0.666,3.376,600.378,2.921
1.0,1.0,295.32,85.442,74.483,80.507,80.43,75.232,73.053,67.341,67.159,67.31,0.973,0.161,0.628,3.396,599.83,3.646
1.0,1.0,295.252,85.378,74.504,80.528,80.451,75.253,73.053,67.341,67.159,67.331,0.492,0.16,0.605,3.421,598.753,2.927
1.0,1.0,295.297,85.421,74.483,80.549,80.451,75.253,73.053,67.341,67.159,67.289,0.233,0.158,0.637,3.442,597.946,3.643
