LS701,LS702,T701,T702,T703,T704,T706,T708,T709,T711,T712,T705,FT703,FT704,PDI701,PDI702,PY23,FYI702
1.0,1.0,415.107,84.267,72.47,80.507,79.577,75.956,71.398,69.905,69.976,67.331,0.235,0.12,0.663,3.349,599.588,2.927
1.0,1.0,415.119,84.256,72.4595,80.4965,79.556,75.935,71.398,69.905,69.9655,67.3415,0.235,0.1205,0.663,3.3535,599.6555,3.285
1.0,1.0,415.131,84.245,72.449,80.486,79.535,75.914,71.398,69.905,69.955,67.352,0.235,0.121,0.663,3.358,599.723,3.643
1.0,1.0,415.06,84.224,72.449,80.465,79.556,75.914,71.376,69.905,69.976,67.331,0.243,0.124,0.642,3.315,600.36,2.927
1.0,1.0,415.131,84.224,72.449,80.507,79.556,75.956,71.398,69.926,69.997,67.373,0.252,0.125,0.664,3.311,600.548,3.643
1.0,1.0,415.154,84.245,72.449,80.528,79.535,75.935,71.398,69.905,70.019,67.395,0.254,0.129,0.722,3.35,600.099,2.927
1.0,1.0,415.154,84.203,72.449,80.465,79.556,75.892,71.398,69.884,69.976,67.395,0.258,0.129,0.623,3.263,599.767,2.735
1.0,1.0,415.177,84.203,72.449,80.486,79.535,75.914,71.419,69.884,69.997,67.395,0.256,0.13,0.699,3.301,598.978,2.927
1.0,1.0,415.154,84.181,72.47,80.507,79.577,75.914,71.398,69.905,70.019,67.373,0.254,0.13,0.692,3.256,598.35,3.64
1.0,1.0,415.201,84.203,72.47,80.486,79.556,75.914,71.398,69.905,70.04,67.395,0.253,0.129,0.723,3.173,598.359,2.927
1.0,1.0,415.224,84.203,72.47,80.507,79.577,75.935,71.398,69.884,69.955,67.416,0.252,0.131,0.665,3.184,599.139,2.735
1.0,1.0,415.271,84.245,72.47,80.507,79.556,75.871,71.419,69.884,69.997,67.416,0.249,0.132,0.676,3.147,599.283,2.927
1.0,1.0,415.2595,84.2345,72.481,80.486,79.556,75.8605,71.4085,69.884,70.008,67.4055,0.2495,0.1325,0.6715,3.1805,599.3325,3.285
1.0,1.0,415.248,84.224,72.492,80.465,79.556,75.85,71.398,69.884,70.019,67.395,0.25,0.133,0.667,3.214,599.382,3.643
1.0,1.0,415.248,84.181,72.449,80.465,79.556,75.892,71.419,69.905,70.019,67.395,0.249,0.132,0.664,3.205,599.651,2.927
1.0,1.0,415.271,84.203,72.47,80.507,79.577,75.935,71.419,69.884,70.019,67.437,0.247,0.133,0.549,3.226,599.893,2.73
1.0,1.0,415.342,84.203,72.47,80.528,79.556,75.871,71.419,69.863,69.997,67.437,0.248,0.132,0.472,3.184,600.117,3.906
1.0,1.0,415.365,84.224,72.47,80.486,79.556,75.85,71.419,69.884,70.019,67.437,0.244,0.134,0.593,3.235,600.593,2.73
1.0,1.0,415.318,84.139,72.47,80.465,79.577,75.871,71.419,69.884,70.061,67.458,0.273,0.139,0.596,3.287,600.315,2.927
1.0,1.0,415.342,84.16,72.47,80.465,79.556,75.914,71.419,69.842,70.04,67.458,0.285,0.14,0.756,3.258,599.857,3.643
1.0,1.0,415.318,84.16,72.47,80.486,79.577,75.892,71.419,69.842,70.061,67.5,0.28,0.141,0.725,3.211,599.238,2.927
1.0,1.0,415.389,84.181,72.47,80.486,79.577,75.85,71.44,69.863,70.04,67.479,0.276,0.14,0.681,3.212,598.906,2.927
1.0,1.0,415.377,84.149,72.47,80.4755,79.5665,75.871,71.44,69.842,70.04,67.4895,0.2765,0.141,0.672,3.1945,599.1395,2.927
1.0,1.0,415.365,84.117,72.47,80.465,79.556,75.892,71.44,69.821,70.04,67.5,0.277,0.142,0.663,3.177,599.373,2.927
1.0,1.0,415.389,84.16,72.492,80.486,79.599,75.892,71.419,69.842,70.082,67.479,0.276,0.142,0.67,3.162,599.687,2.732
1.0,1.0,415.412,84.181,72.47,80.507,79.599,75.871,71.419,69.863,70.04,67.479,0.271,0.142,0.571,3.182,600.001,2.93
1.0,1.0,415.506,84.181,72.47,80.465,79.535,75.828,71.44,69.842,70.061,67.521,0.27,0.143,0.639,3.127,600.378,3.552
1.0,1.0,415.412,84.117,72.47,80.443,79.577,75.871,71.44,69.842,70.061,67.521,0.274,0.145,0.669,3.18,600.414,2.735
1.0,1.0,415.389,84.139,72.492,80.486,79.599,75.892,71.419,69.842,70.082,67.543,0.279,0.149,0.644,3.123,599.507,3.902
1.0,1.0,415.436,84.139,72.47,80.486,79.599,75.85,71.419,69.842,70.061,67.521,0.283,0.15,0.649,3.086,598.691,2.732
1.0,1.0,415.529,84.139,72.47,80.486,79.599,75.828,71.461,69.842,70.082,67.543,0.285,0.151,0.698,2.996,598.242,2.976
1.0,1.0,415.541,84.128,72.47,80.454,79.567,75.828,71.4505,69.842,70.0715,67.543,0.2865,0.152,0.669,2.9985,598.471,3.3095
1.0,1.0,415.553,84.117,72.47,80.422,79.535,75.828,71.44,69.842,70.061,67.543,0.288,0.153,0.64,3.001,598.7,3.643
1.0,1.0,415.459,84.096,72.47,80.465,79.577,75.871,71.419,69.8,70.082,67.564,0.29,0.154,0.637,3.036,599.399,3.643
1.0,1.0,415.529,84.096,72.47,80.465,79.577,75.871,71.419,69.842,70.082,67.585,0.294,0.151,0.647,2.902,600.243,2.933
1.0,1.0,415.506,84.096,72.492,80.507,79.599,75.85,71.419,69.821,70.082,67.585,0.295,0.153,0.661,2.924,600.719,3.646
1.0,1.0,415.6,84.16,72.492,80.486,79.556,75.828,71.419,69.8,70.082,67.606,0.3,0.152,0.665,2.922,601.015,2.927
1.0,1.0,415.623,84.139,72.492,80.422,79.556,75.807,71.44,69.821,70.082,67.606,0.286,0.152,0.747,2.902,600.333,2.73
1.0,1.0,415.576,84.074,72.449,80.443,79.556,75.85,71.44,69.821,70.082,67.627,0.283,0.124,0.649,2.834,599.57,3.902
1.0,1.0,415.529,84.053,72.47,80.465,79.599,75.85,71.44,69.821,70.061,67.648,0.278,0.124,0.669,2.854,599.498,2.732
1.0,1.0,415.576,84.0635,72.481,80.4755,79.588,75.85,71.4295,69.821,70.082,67.6375,0.277,0.128,0.6505,2.8415,599.471,2.8295
1.0,1.0,415.623,84.074,72.492,80.486,79.577,75.85,71.419,69.821,70.103,67.627,0.276,0.132,0.632,2.829,599.444,2.927
1.0,1.0,415.694,84.096,72.47,80.443,79.556,75.786,71.461,69.821,70.125,67.627,0.275,0.132,0.616,2.859,600.189,3.643
1.0,1.0,415.623,84.053,72.47,80.443,79.577,75.786,71.44,69.821,70.082,67.67,0.269,0.134,0.66,2.782,600.593,2.927
1.0,1.0,415.623,84.032,72.47,80.465,79.577,75.828,71.419,69.842,70.082,67.648,0.269,0.137,0.625,2.836,599.758,2.927
1.0,1.0,415.694,84.096,72.492,80.465,79.577,75.765,71.461,69.821,70.125,67.691,0.266,0.152,0.647,2.804,598.96,3.646
1.0,1.0,415.717,84.074,72.513,80.443,79.577,75.765,71.461,69.842,70.103,67.712,0.263,0.157,0.661,2.824,598.879,2.924
1.0,1.0,415.67,84.032,72.47,80.465,79.599,75.786,71.44,69.821,70.082,67.712,0.263,0.167,0.661,2.861,598.879,2.735
1.0,1.0,415.694,84.074,72.492,80.486,79.577,75.786,71.44,69.821,70.125,67.691,0.264,0.171,0.691,2.876,599.4,3.902
1.0,1.0,415.741,84.096,72.513,80.465,79.599,75.765,71.44,69.821,70.103,67.733,0.263,0.177,0.675,2.847,599.947,2.732
1.0,1.0,415.788,84.074,72.513,80.443,79.577,75.765,71.461,69.842,70.082,67.775,0.264,0.181,0.564,2.856,600.028,2.924
1.0,1.0,415.7645,84.0635,72.5025,80.454,79.588,75.765,71.4505,69.8315,70.1035,67.7645,0.263,0.183,0.5945,2.825,600.0325,3.2835
