LS701,LS702,T701,T702,T703,T704,T706,T708,T709,T711,T712,T705,FT703,FT704,PDI701,PDI702,PY23,FYI702
1.0,1.0,396.072,93.061,82.824,87.794,87.772,82.762,78.895,72.597,72.541,72.729,0.177,0.389,1.124,1.746,747.937,2.732
1.0,1.0,396.026,93.061,82.824,87.73,87.751,82.74,78.873,72.618,72.584,72.751,0.176,0.388,1.144,1.76,747.614,3.895
1.0,1.0,395.956,92.997,82.824,87.73,87.793,82.805,78.852,72.639,72.605,72.687,0.178,0.388,1.116,1.746,747.39,2.735
1.0,1.0,395.979,93.04,82.824,87.794,87.815,82.826,78.831,72.597,72.541,72.751,0.176,0.387,1.139,1.724,747.479,2.927
1.0,1.0,396.072,93.125,82.867,87.794,87.751,82.74,78.767,72.555,72.52,72.729,0.177,0.387,1.186,1.689,747.551,3.643
1.0,1.0,396.002,93.018,82.824,87.752,87.729,82.719,78.767,72.618,72.562,72.708,0.177,0.386,1.118,1.695,747.766,2.93
1.0,1.0,395.979,92.997,82.824,87.73,87.793,82.805,78.767,72.597,72.541,72.708,0.177,0.385,1.152,1.673,747.838,3.643
1.0,1.0,396.026,93.082,82.845,87.836,87.815,82.762,78.703,72.576,72.562,72.708,0.177,0.385,1.138,1.683,748.072,2.927
1.0,1.0,396.049,93.061,82.824,87.752,87.751,82.74,78.682,72.576,72.499,72.729,0.176,0.384,1.082,1.772,748.161,3.552
1.0,1.0,395.979,93.018,82.845,87.709,87.751,82.762,78.661,72.555,72.541,72.708,0.177,0.383,1.169,1.754,748.242,2.735
1.0,1.0,396.002,93.061,82.845,87.815,87.793,82.783,78.639,72.576,72.52,72.708,0.176,0.383,1.183,1.754,748.341,2.927
1.0,1.0,396.049,93.125,82.867,87.836,87.793,82.783,78.618,72.576,72.541,72.687,0.176,0.382,1.14,1.711,748.386,3.643
1.0,1.0,395.979,93.04,82.845,87.794,87.772,82.762,78.597,72.576,72.52,72.729,0.177,0.382,1.202,1.656,748.332,2.927
1.0,1.0,395.979,93.018,82.824,87.773,87.772,82.783,78.554,72.576,72.52,72.708,0.176,0.381,1.162,1.621,748.7,2.927
1.0,1.0,396.026,93.04,82.845,87.794,87.793,82.762,78.576,72.576,72.541,72.708,0.177,0.381,1.211,1.621,748.745,3.643
1.0,1.0,396.026,93.082,82.845,87.773,87.772,82.762,78.554,72.576,72.499,72.708,0.175,0.381,1.122,1.606,748.978,2.927
1.0,1.0,395.979,93.018,82.845,87.794,87.793,82.805,78.533,72.576,72.562,72.708,0.174,0.379,1.167,1.606,749.274,2.732
1.0,1.0,396.002,93.04,82.845,87.794,87.772,82.783,78.533,72.576,72.52,72.687,0.171,0.378,1.078,1.677,749.184,3.902
1.0,1.0,396.049,93.082,82.845,87.815,87.793,82.762,78.554,72.597,72.562,72.708,0.168,0.376,1.166,1.674,749.086,2.732
1.0,1.0,396.002,93.018,82.845,87.773,87.751,82.783,78.533,72.618,72.541,72.708,0.168,0.376,1.148,1.655,748.924,2.927
1.0,1.0,396.002,93.061,82.845,87.836,87.815,82.783,78.533,72.618,72.584,72.708,0.164,0.375,1.167,1.65,749.148,3.636
1.0,1.0,396.002,93.104,82.867,87.815,87.772,82.762,78.491,72.639,72.541,72.687,0.164,0.373,1.113,1.66,749.283,2.879
1.0,1.0,396.002,93.061,82.845,87.773,87.793,82.783,78.491,72.618,72.584,72.687,0.162,0.373,1.103,1.604,749.687,3.64
1.0,1.0,395.979,93.039,82.845,87.815,87.793,82.805,78.491,72.618,72.562,72.687,0.161,0.372,1.065,1.561,749.642,2.921
1.0,1.0,396.049,93.082,82.845,87.794,87.793,82.762,78.491,72.618,72.562,72.729,0.161,0.372,1.083,1.562,749.445,3.559
1.0,1.0,396.026,93.082,82.845,87.773,87.751,82.762,78.469,72.597,72.562,72.708,0.159,0.37,1.19,1.576,749.48,2.737
1.0,1.0,396.002,93.018,82.845,87.794,87.793,82.805,78.469,72.618,72.541,72.729,0.159,0.368,1.13,1.633,749.579,2.924
1.0,1.0,396.026,93.039,82.845,87.836,87.793,82.826,78.469,72.618,72.562,72.687,0.159,0.367,1.135,1.605,750.082,3.643
1.0,1.0,396.026,93.082,82.856,87.8255,87.7825,82.794,78.469,72.6285,72.562,72.6975,0.159,0.366,1.12,1.5945,750.019,3.285
1.0,1.0,396.026,93.125,82.867,87.815,87.772,82.762,78.469,72.639,72.562,72.708,0.159,0.365,1.105,1.584,749.956,2.927
1.0,1.0,395.979,93.018,82.845,87.794,87.772,82.783,78.448,72.618,72.541,72.708,0.158,0.364,1.045,1.609,749.283,3.643
1.0,1.0,395.979,93.061,82.845,87.858,87.815,82.783,78.448,72.618,72.562,72.708,0.157,0.362,1.121,1.634,749.516,2.927
1.0,1.0,396.002,93.104,82.845,87.858,87.815,82.783,78.469,72.618,72.584,72.729,0.158,0.361,1.025,1.643,749.57,2.732
1.0,1.0,396.002,93.039,82.845,87.836,87.793,82.805,78.469,72.618,72.541,72.729,0.156,0.36,1.014,1.654,749.633,3.902
1.0,1.0,396.026,93.082,82.867,87.836,87.772,82.805,78.448,72.618,72.541,72.772,0.157,0.359,0.996,1.597,749.723,2.732
1.0,1.0,395.979,93.039,82.845,87.858,87.815,82.783,78.448,72.618,72.562,72.687,0.156,0.359,0.994,1.601,749.839,2.927
