LS701,LS702,T701,T702,T703,T704,T706,T708,T709,T711,T712,T705,FT703,FT704,PDI701,PDI702,PY23,FYI702
1.0,1.0,420.719,88.757,77.268,84.0,83.821,78.664,73.541,67.467,66.609,66.464,0.183,0.383,0.916,1.406,547.336,4.258
1.0,1.0,420.696,88.779,77.268,84.0,83.864,78.664,73.541,67.467,66.609,66.485,0.183,0.383,0.876,1.441,547.506,3.643
1.0,1.0,420.79,88.8,77.268,83.979,83.843,78.643,73.541,67.467,66.651,66.464,0.18,0.382,0.839,1.422,547.802,3.899
1.0,1.0,420.743,88.8,77.268,84.043,83.864,78.664,73.541,67.425,66.609,66.464,0.186,0.381,0.814,1.403,547.605,4.55
1.0,1.0,420.743,88.8,77.268,84.043,83.864,78.685,73.52,67.404,66.588,66.464,0.186,0.381,0.814,1.403,547.605,4.55
1.0,1.0,420.837,88.843,77.289,84.0,83.843,78.6,73.52,67.383,66.588,66.464,0.178,0.38,0.938,1.437,547.883,3.902
1.0,1.0,420.766,88.8,77.268,83.979,83.864,78.643,73.52,67.404,66.588,66.443,0.181,0.379,0.969,1.46,549.067,4.545
1.0,1.0,420.79,88.821,77.268,84.021,83.886,78.685,73.541,67.425,66.588,66.464,0.176,0.378,1.002,1.444,549.229,3.91
1.0,1.0,420.86,88.843,77.289,84.0,83.843,78.643,73.562,67.425,66.588,66.422,0.177,0.375,1.086,1.57,550.261,4.554
1.0,1.0,420.86,88.821,77.289,84.0,83.843,78.643,73.52,67.425,66.588,66.443,0.174,0.374,1.093,1.734,550.386,3.902
1.0,1.0,420.766,88.821,77.268,84.0,83.864,78.685,73.52,67.404,66.567,66.464,0.174,0.375,1.057,1.845,549.57,4.554
1.0,1.0,420.79,88.821,77.289,84.021,83.864,78.643,73.541,67.404,66.567,66.443,0.181,0.375,1.048,1.706,549.031,3.902
1.0,1.0,420.884,88.864,77.289,83.979,83.821,78.621,73.562,67.446,66.609,66.443,0.169,0.373,1.018,1.627,547.38,4.444
1.0,1.0,420.86,88.821,77.268,83.958,83.843,78.621,73.583,67.446,66.567,66.443,0.176,0.373,0.965,1.573,547.246,3.643
1.0,1.0,420.813,88.779,77.289,84.043,83.864,78.664,73.583,67.425,66.588,66.443,0.174,0.374,0.916,1.533,547.497,4.873
1.0,1.0,420.884,88.864,77.311,84.0,83.864,78.643,73.562,67.404,66.588,66.443,0.178,0.376,0.926,1.574,547.309,3.64
1.0,1.0,420.86,88.821,77.311,83.979,83.864,78.643,73.562,67.425,66.588,66.443,0.18,0.376,0.977,1.567,548.385,3.902
1.0,1.0,420.884,88.821,77.311,83.979,83.843,78.643,73.583,67.404,66.588,66.422,0.177,0.377,0.979,1.536,547.775,3.902
1.0,1.0,420.931,88.886,77.311,84.043,83.886,78.621,73.562,67.404,66.567,66.464,0.183,0.375,0.909,1.561,547.667,4.554
1.0,1.0,420.931,88.864,77.311,84.0,83.843,78.621,73.583,67.404,66.567,66.464,0.176,0.376,0.897,1.546,547.874,3.902
1.0,1.0,420.907,88.821,77.289,84.0,83.886,78.643,73.583,67.383,66.546,66.422,0.181,0.375,0.924,1.578,548.215,4.558
1.0,1.0,420.907,88.821,77.332,84.0,83.886,78.643,73.562,67.404,66.588,66.443,0.178,0.374,0.988,1.548,549.04,3.91
1.0,1.0,420.978,88.864,77.311,84.021,83.864,78.6,73.583,67.404,66.588,66.401,0.182,0.374,1.054,1.665,549.22,4.55
1.0,1.0,420.931,88.886,77.311,84.021,83.864,78.621,73.583,67.404,66.546,66.464,0.181,0.374,1.03,1.716,548.789,3.902
1.0,1.0,420.978,88.843,77.311,83.958,83.843,78.6,73.562,67.404,66.567,66.443,0.179,0.373,1.052,1.693,548.789,3.643
1.0,1.0,420.954,88.843,77.289,83.958,83.843,78.6,73.605,67.404,66.588,66.401,0.182,0.371,1.022,1.667,549.579,4.878
1.0,1.0,421.001,88.886,77.311,83.937,83.864,78.6,73.605,67.425,66.567,66.464,0.175,0.373,0.996,1.677,549.462,3.643
1.0,1.0,421.001,88.886,77.311,84.0,83.864,78.621,73.626,67.404,66.567,66.464,0.181,0.372,1.041,1.83,549.48,4.798
1.0,1.0,420.931,88.843,77.289,84.0,83.886,78.643,73.626,67.383,66.588,66.422,0.178,0.372,1.046,1.861,549.417,3.562
1.0,1.0,420.954,88.8,77.311,83.958,83.843,78.643,73.626,67.425,66.588,66.443,0.183,0.372,0.924,1.733,548.116,4.554
1.0,1.0,421.001,88.843,77.289,83.958,83.864,78.6,73.605,67.404,66.567,66.422,0.18,0.373,0.929,1.744,548.726,3.902
1.0,1.0,421.001,88.907,77.311,84.021,83.864,78.621,73.626,67.404,66.567,66.464,0.18,0.375,1.002,1.748,549.283,4.558
1.0,1.0,421.025,88.864,77.311,83.958,83.843,78.621,73.626,67.425,66.588,66.443,0.183,0.374,1.01,1.882,548.924,3.906
1.0,1.0,420.978,88.821,77.289,83.958,83.843,78.621,73.583,67.383,66.567,66.443,0.177,0.375,1.007,1.866,550.036,3.643
1.0,1.0,421.072,88.843,77.289,83.958,83.864,78.621,73.605,67.404,66.588,66.443,0.183,0.375,1.013,2.084,550.521,4.883
1.0,1.0,420.978,88.864,77.311,83.979,83.886,78.621,73.605,67.404,66.588,66.443,0.181,0.379,1.015,2.194,549.651,3.64
1.0,1.0,421.001,88.886,77.311,84.021,83.886,78.621,73.626,67.383,66.546,66.464,0.188,0.38,0.995,2.021,548.125,4.878
1.0,1.0,421.048,88.907,77.332,84.0,83.864,78.6,73.626,67.425,66.588,66.422,0.181,0.381,1.029,1.923,548.439,3.643
1.0,1.0,421.119,88.864,77.311,83.958,83.864,78.6,73.626,67.404,66.567,66.422,0.188,0.386,0.96,1.87,548.098,4.878
1.0,1.0,421.025,88.864,77.311,83.979,83.864,78.643,73.605,67.404,66.567,66.443,0.187,0.388,0.959,1.855,548.116,3.643
1.0,1.0,421.048,88.821,77.311,83.937,83.864,78.643,73.626,67.404,66.588,66.422,0.189,0.389,0.96,1.842,548.403,3.902
1.0,1.0,421.001,88.843,77.311,83.979,83.886,78.664,73.605,67.383,66.567,66.422,0.188,0.388,0.991,1.821,548.269,4.554
1.0,1.0,421.095,88.886,77.332,84.0,83.886,78.621,73.605,67.404,66.546,66.401,0.185,0.388,1.017,1.778,548.161,3.902
1.0,1.0,421.095,88.907,77.332,83.958,83.864,78.621,73.605,67.383,66.567,66.422,0.187,0.387,0.956,1.801,548.161,3.902
1.0,1.0,421.048,88.843,77.311,83.958,83.864,78.621,73.605,67.383,66.524,66.422,0.182,0.387,1.043,1.767,548.592,4.444
1.0,1.0,421.048,88.907,77.332,84.021,83.886,78.621,73.626,67.383,66.546,66.422,0.185,0.387,0.926,1.825,548.197,3.646
1.0,1.0,421.166,88.907,77.354,83.979,83.864,78.6,73.626,67.404,66.546,66.401,0.18,0.387,1.027,1.994,549.552,4.878
1.0,1.0,421.166,88.907,77.332,83.937,83.864,78.6,73.605,67.383,66.524,66.443,0.187,0.386,1.048,2.108,549.722,3.643
1.0,1.0,421.142,88.928,77.332,84.0,83.864,78.6,73.626,67.383,66.567,66.401,0.18,0.386,1.012,2.029,549.121,3.899
1.0,1.0,421.119,88.95,77.332,84.0,83.886,78.643,73.605,67.404,66.546,66.422,0.183,0.386,0.991,2.04,548.43,4.558
1.0,1.0,421.119,88.907,77.332,84.0,83.907,78.6,73.605,67.404,66.567,66.422,0.18,0.387,0.966,2.043,549.014,3.902
1.0,1.0,421.166,88.886,77.332,83.958,83.864,78.6,73.626,67.383,66.524,66.422,0.187,0.389,1.027,1.996,549.507,4.554
1.0,1.0,421.142,88.843,77.332,83.937,83.886,78.6,73.626,67.425,66.546,66.443,0.184,0.391,1.134,2.017,549.758,3.902
1.0,1.0,421.095,88.864,77.354,84.0,83.907,78.643,73.647,67.404,66.567,66.401,0.187,0.392,1.033,2.034,549.175,3.64
1.0,1.0,421.166,88.928,77.375,84.0,83.907,78.621,73.583,67.383,66.524,66.422,0.188,0.393,1.005,2.027,549.292,4.873
1.0,1.0,421.142,88.886,77.354,84.021,83.886,78.621,73.605,67.404,66.567,66.422,0.186,0.393,0.932,1.949,548.628,3.65
