LS701,LS702,T701,T702,T703,T704,T706,T708,T709,T711,T712,T705,FT703,FT704,PDI701,PDI702,PY23,FYI702
1.0,1.0,489.756,85.335,73.84,80.655,80.323,75.147,71.97,68.896,68.07,67.818,0.327,0.397,0.783,1.727,598.709,5.464
1.0,1.0,489.756,85.293,73.862,80.697,80.366,75.21,71.97,68.938,68.07,67.839,0.382,0.396,0.839,1.745,598.682,4.878
1.0,1.0,489.756,85.357,73.862,80.74,80.366,75.189,71.97,68.896,68.112,67.839,0.383,0.396,0.816,1.756,598.377,4.55
1.0,1.0,489.853,85.357,73.862,80.676,80.345,75.168,71.97,68.917,68.07,67.839,0.383,0.395,0.795,1.724,598.475,4.878
1.0,1.0,489.853,85.335,73.84,80.655,80.323,75.147,71.992,68.896,68.049,67.839,0.382,0.394,0.723,1.731,598.511,5.464
1.0,1.0,489.804,85.335,73.84,80.655,80.323,75.147,71.992,68.896,68.049,67.839,0.38,0.394,0.757,1.778,598.726,4.878
1.0,1.0,489.756,85.293,73.84,80.697,80.366,75.21,71.992,68.875,68.07,67.86,0.379,0.393,0.739,1.745,598.727,5.464
1.0,1.0,489.756,85.314,73.84,80.697,80.366,75.168,71.992,68.917,68.091,67.86,0.377,0.393,0.792,1.73,598.888,4.878
1.0,1.0,489.828,85.357,73.862,80.697,80.366,75.147,71.97,68.875,68.07,67.839,0.375,0.393,0.752,1.694,598.861,4.878
1.0,1.0,489.853,85.335,73.84,80.655,80.323,75.125,71.992,68.896,68.049,67.839,0.375,0.393,0.728,1.766,598.691,4.878
1.0,1.0,489.756,85.271,73.862,80.697,80.366,75.189,71.992,68.875,68.049,67.86,0.375,0.392,0.728,1.766,598.691,4.558
1.0,1.0,489.732,85.314,73.862,80.697,80.366,75.147,71.992,68.875,68.07,67.839,0.373,0.391,0.75,1.697,599.103,4.873
1.0,1.0,489.828,85.335,73.862,80.718,80.366,75.125,72.013,68.896,68.091,67.839,0.37,0.391,0.72,1.704,598.897,5.854
1.0,1.0,489.828,85.335,73.862,80.697,80.345,75.125,71.992,68.896,68.07,67.818,0.37,0.39,0.78,1.688,599.256,4.558
1.0,1.0,489.853,85.293,73.862,80.676,80.345,75.125,71.97,68.875,68.049,67.839,0.369,0.389,0.788,1.652,598.96,4.878
1.0,1.0,489.756,85.271,73.862,80.655,80.366,75.147,71.928,68.854,68.07,67.86,0.367,0.389,0.727,1.663,599.13,5.464
1.0,1.0,489.804,85.314,73.862,80.718,80.366,75.125,71.907,68.875,68.091,67.839,0.365,0.388,0.768,1.647,599.247,4.878
1.0,1.0,489.804,85.335,73.862,80.676,80.366,75.104,71.886,68.875,68.07,67.818,0.365,0.387,0.717,1.644,599.166,4.554
