LS701,LS702,T701,T702,T703,T704,T706,T708,T709,T711,T712,T705,FT703,FT704,PDI701,PDI702,PY23,FYI702
1.0,1.0,378.478,66.982,57.14,62.318,62.422,57.128,51.285,48.637,48.54,48.769,0.054,0.054,0.016,3.898,248.017,2.732
1.0,1.0,378.455,66.982,57.161,62.339,62.485,57.17,51.264,48.657,48.582,48.769,0.79,0.063,0.009,3.985,248.062,2.927
1.0,1.0,378.432,66.982,57.14,62.381,62.485,57.149,51.264,48.657,48.582,48.791,0.783,0.074,-0.014,4.044,248.089,2.732
1.0,1.0,378.548,67.004,57.14,62.36,62.443,57.128,51.264,48.637,48.582,48.769,0.567,0.084,-0.01,4.081,248.143,2.924
1.0,1.0,378.501,66.982,57.14,62.318,62.443,57.149,51.285,48.637,48.561,48.769,0.36,0.1,-0.015,4.108,248.197,3.643
1.0,1.0,378.455,66.982,57.161,62.381,62.485,57.149,51.307,48.657,48.582,48.791,0.334,0.112,-0.003,4.167,248.143,2.927
1.0,1.0,378.548,67.004,57.161,62.402,62.485,57.17,51.285,48.657,48.603,48.748,0.271,0.121,-0.008,4.231,248.268,2.735
1.0,1.0,378.617,67.025,57.14,62.339,62.464,57.128,51.285,48.657,48.582,48.769,0.282,0.132,-0.039,4.195,248.179,2.924
1.0,1.0,378.571,67.004,57.14,62.318,62.443,57.086,51.285,48.657,48.603,48.769,0.206,0.14,-0.062,4.253,248.215,2.924
1.0,1.0,378.501,66.982,57.161,62.36,62.485,57.17,51.264,48.637,48.582,48.769,0.186,0.15,-0.065,4.295,248.618,2.927
1.0,1.0,378.571,67.025,57.14,62.36,62.485,57.128,51.307,48.657,48.603,48.791,0.188,0.161,-0.155,4.401,248.654,2.927
1.0,1.0,378.571,67.025,57.14,62.381,62.485,57.149,51.307,48.657,48.582,48.791,0.202,0.168,-0.217,4.449,248.636,3.643
1.0,1.0,378.594,67.046,57.14,62.36,62.485,57.149,51.307,48.637,48.561,48.812,0.156,0.312,-0.214,4.372,248.574,2.927
1.0,1.0,378.641,67.004,57.14,62.318,62.422,57.086,51.307,48.678,48.603,48.791,0.155,0.572,-0.258,4.426,248.699,2.732
1.0,1.0,378.571,66.961,57.14,62.318,62.464,57.149,51.307,48.657,48.603,48.791,0.169,0.647,-0.223,4.496,248.798,2.93
1.0,1.0,378.641,67.004,57.14,62.36,62.464,57.149,51.307,48.678,48.603,48.791,0.199,0.669,-0.125,4.453,248.906,2.924
1.0,1.0,378.664,67.067,57.119,62.36,62.443,57.128,51.349,48.657,48.624,48.791,0.24,0.683,-0.198,4.425,248.861,2.735
1.0,1.0,378.617,66.982,57.119,62.318,62.443,57.149,51.328,48.637,48.582,48.812,0.211,0.694,-0.204,4.368,248.95,2.927
1.0,1.0,378.617,67.004,57.119,62.36,62.464,57.149,51.328,48.657,48.624,48.812,0.202,0.702,-0.173,4.334,249.148,2.732
1.0,1.0,378.664,67.046,57.119,62.381,62.485,57.149,51.349,48.657,48.603,48.812,0.136,0.706,-0.128,4.186,249.166,2.927
1.0,1.0,378.733,67.046,57.14,62.36,62.464,57.128,51.37,48.678,48.646,48.812,0.303,0.711,-0.093,4.165,249.256,2.732
1.0,1.0,378.641,67.025,57.14,62.339,62.485,57.17,51.37,48.657,48.624,48.812,0.309,0.715,-0.024,4.209,249.202,2.846
1.0,1.0,378.687,67.004,57.14,62.36,62.485,57.192,51.349,48.678,48.624,48.833,0.114,0.719,-0.066,4.122,249.247,3.64
1.0,1.0,378.733,67.089,57.14,62.36,62.464,57.086,51.37,48.678,48.646,48.812,0.256,0.723,-0.097,4.045,249.139,1.955
1.0,1.0,378.71,67.004,57.119,62.318,62.443,57.149,51.37,48.678,48.603,48.833,0.302,0.726,-0.091,3.936,249.247,3.646
1.0,1.0,378.687,67.046,57.14,62.381,62.485,57.149,51.349,48.678,48.646,48.854,0.144,0.729,-0.093,3.971,249.444,2.927
1.0,1.0,378.71,67.046,57.14,62.381,62.506,57.149,51.37,48.699,48.646,48.812,0.156,0.732,-0.056,3.947,249.453,2.732
1.0,1.0,378.803,67.046,57.161,62.339,62.443,57.128,51.37,48.699,48.624,48.854,0.239,0.553,-0.169,3.964,249.579,2.927
1.0,1.0,378.803,67.089,57.14,62.339,62.485,57.149,51.391,48.72,48.624,48.833,0.265,0.557,-0.21,3.914,249.776,2.727
1.0,1.0,378.733,67.046,57.161,62.339,62.464,57.128,51.37,48.72,48.646,48.833,0.156,0.505,-0.292,3.934,249.731,2.927
1.0,1.0,378.756,67.067,57.119,62.339,62.464,57.149,51.37,48.72,48.646,48.833,0.144,0.42,-0.296,3.924,249.668,3.559
1.0,1.0,378.756,67.067,57.161,62.36,62.464,57.128,51.391,48.72,48.624,48.833,0.229,0.395,-0.291,3.877,249.911,2.735
1.0,1.0,378.78,67.046,57.14,62.339,62.443,57.107,51.37,48.72,48.667,48.854,0.295,0.386,-0.283,3.834,250.135,2.93
1.0,1.0,378.803,67.025,57.161,62.339,62.464,57.128,51.412,48.72,48.624,48.854,0.139,0.379,-0.206,3.869,250.422,2.93
1.0,1.0,378.733,67.046,57.161,62.381,62.485,57.17,51.37,48.72,48.646,48.833,0.155,0.377,-0.052,3.817,248.322,2.732
1.0,1.0,378.826,67.11,57.14,62.402,62.464,57.149,51.412,48.699,48.667,48.833,0.213,0.373,0.098,3.704,247.434,2.924
1.0,1.0,378.849,67.067,57.14,62.339,62.443,57.086,51.412,48.741,48.646,48.833,0.265,0.369,0.181,3.652,247.326,2.732
1.0,1.0,378.803,67.004,57.161,62.318,62.443,57.128,51.412,48.699,48.646,48.833,0.186,0.367,0.026,3.709,247.353,2.927
1.0,1.0,378.803,67.046,57.182,62.402,62.485,57.192,51.433,48.72,48.646,48.854,0.133,0.363,0.07,3.626,247.452,3.643
1.0,1.0,378.849,67.089,57.161,62.423,62.485,57.149,51.433,48.699,48.646,48.833,0.227,0.36,0.016,3.642,247.425,2.927
1.0,1.0,378.919,67.131,57.161,62.36,62.443,57.086,51.475,48.678,48.624,48.833,0.285,0.358,-0.071,3.675,247.227,2.727
1.0,1.0,378.895,67.067,57.161,62.318,62.422,57.107,51.475,48.678,48.624,48.833,0.248,0.355,-0.032,3.608,246.904,2.933
1.0,1.0,378.826,67.004,57.182,62.318,62.464,57.149,51.475,48.657,48.624,48.812,0.254,0.352,-0.07,3.647,247.38,2.732
1.0,1.0,378.826,67.004,57.182,62.318,62.485,57.128,51.496,48.657,48.624,48.812,0.148,0.35,-0.082,3.638,247.622,2.927
1.0,1.0,378.895,67.11,57.161,62.36,62.464,57.149,51.56,48.678,48.624,48.812,0.285,0.349,-0.069,3.594,247.407,2.732
1.0,1.0,378.919,67.11,57.161,62.36,62.464,57.149,51.538,48.657,48.624,48.812,0.218,0.348,-0.122,3.59,247.506,3.902
1.0,1.0,378.895,67.089,57.161,62.402,62.464,57.128,51.56,48.657,48.582,48.833,0.138,0.347,-0.188,3.584,247.434,2.667
1.0,1.0,378.942,67.089,57.161,62.36,62.464,57.128,51.56,48.657,48.582,48.812,0.138,0.346,-0.198,3.635,247.398,2.735
1.0,1.0,378.919,67.067,57.161,62.381,62.464,57.128,51.581,48.657,48.582,48.791,0.192,0.346,-0.181,3.636,247.227,2.927
1.0,1.0,378.965,67.11,57.161,62.381,62.443,57.149,51.56,48.657,48.561,48.791,0.161,0.346,-0.226,3.62,247.192,2.732
1.0,1.0,378.965,67.089,57.182,62.381,62.443,57.086,51.581,48.637,48.603,48.791,0.182,0.346,-0.269,3.605,247.048,3.64
1.0,1.0,378.965,67.11,57.182,62.381,62.464,57.086,51.581,48.637,48.561,48.791,0.294,0.347,-0.228,3.654,247.102,2.732
1.0,1.0,378.942,67.046,57.161,62.339,62.443,57.107,51.602,48.637,48.561,48.791,0.294,0.347,-0.228,3.654,247.102,2.732
1.0,1.0,378.942,67.089,57.161,62.402,62.443,57.128,51.623,48.657,48.582,48.791,0.292,0.347,-0.296,3.691,247.353,2.927
1.0,1.0,378.942,67.089,57.161,62.402,62.485,57.17,51.623,48.657,48.582,48.791,0.15,0.349,-0.224,3.691,247.353,2.732
1.0,1.0,379.011,67.11,57.161,62.36,62.422,57.128,51.665,48.637,48.582,48.769,0.204,0.35,-0.208,3.705,247.254,2.732
1.0,1.0,379.011,67.067,57.161,62.339,62.422,57.128,51.665,48.616,48.519,48.769,0.364,0.351,-0.166,3.716,247.317,2.927
1.0,1.0,378.942,67.067,57.14,62.36,62.464,57.17,51.686,48.637,48.561,48.769,0.212,0.353,-0.166,3.716,247.317,3.643
1.0,1.0,379.011,67.11,57.14,62.36,62.464,57.149,51.728,48.637,48.54,48.769,0.183,0.356,-0.177,3.75,247.344,2.927
1.0,1.0,379.035,67.089,57.161,62.339,62.443,57.128,51.749,48.637,48.54,48.769,0.173,0.358,-0.173,3.679,247.335,2.732
1.0,1.0,379.035,67.046,57.119,62.339,62.443,57.149,51.77,48.637,48.54,48.769,0.326,0.36,-0.166,3.672,247.416,2.927
