LS701,LS702,T701,T702,T703,T704,T706,T708,T709,T711,T712,T705,FT703,FT704,PDI701,PDI702,PY23,FYI702
1.0,1.0,403.658,61.673,50.734,58.028,57.104,52.935,47.345,45.401,44.669,44.776,1.632,0.925,-0.007,4.439,199.74,3.646
1.0,1.0,403.634,61.63,50.755,58.007,57.083,52.977,47.366,45.422,44.648,44.776,0.584,0.843,-0.014,4.318,200.0,3.972
1.0,1.0,403.681,61.651,50.755,57.965,57.104,52.935,47.345,45.401,44.69,44.776,0.155,0.856,0.01,4.272,199.623,3.902
1.0,1.0,403.658,61.609,50.734,58.007,57.083,52.977,47.345,45.401,44.648,44.776,2.214,0.912,0.088,4.158,199.094,3.646
1.0,1.0,403.704,61.63,50.734,57.986,57.083,52.956,47.345,45.422,44.669,44.797,1.23,0.931,0.222,4.019,198.789,3.902
1.0,1.0,403.798,61.694,50.734,58.007,57.104,52.935,47.345,45.38,44.669,44.776,0.744,0.813,0.266,3.886,198.95,3.643
1.0,1.0,403.7745,61.6515,50.734,57.9965,57.104,52.9245,47.3555,45.38,44.669,44.776,0.7495,0.7035,0.2425,3.8835,199.1295,3.7725
1.0,1.0,403.751,61.609,50.734,57.986,57.104,52.914,47.366,45.38,44.669,44.776,0.755,0.594,0.219,3.881,199.309,3.902
1.0,1.0,403.751,61.609,50.734,57.965,57.104,52.956,47.366,45.401,44.648,44.776,0.34,0.526,0.133,3.862,199.085,4.44
1.0,1.0,403.821,61.651,50.755,58.049,57.125,52.977,47.387,45.38,44.669,44.776,0.213,0.5,0.056,3.879,199.507,3.646
1.0,1.0,403.915,61.673,50.734,58.007,57.083,52.935,47.387,45.401,44.648,44.776,2.751,0.486,-0.006,3.936,199.453,3.902
1.0,1.0,403.915,61.651,50.755,57.965,57.104,52.893,47.408,45.401,44.669,44.776,1.664,0.478,0.009,4.027,199.596,4.554
1.0,1.0,403.821,61.588,50.734,57.944,57.083,52.935,47.408,45.38,44.648,44.755,0.718,0.473,-0.028,4.071,199.731,4.554
1.0,1.0,403.868,61.63,50.734,58.007,57.125,52.977,47.429,45.38,44.648,44.776,0.834,0.47,0.008,4.093,200.054,3.902
1.0,1.0,403.891,61.609,50.734,58.028,57.104,52.956,47.472,45.38,44.669,44.755,0.29,0.465,0.012,4.052,199.821,3.902
1.0,1.0,403.915,61.63,50.713,57.986,57.104,52.935,47.45,45.38,44.648,44.776,0.005,0.463,0.08,3.943,199.085,3.643
1.0,1.0,403.9615,61.662,50.734,57.9965,57.104,52.914,47.45,45.3905,44.669,44.7655,0.9345,0.4625,0.1395,3.929,199.0265,3.7725
1.0,1.0,404.008,61.694,50.755,58.007,57.104,52.893,47.45,45.401,44.69,44.755,1.864,0.462,0.199,3.915,198.968,3.902
1.0,1.0,404.008,61.651,50.734,57.986,57.104,52.914,47.472,45.401,44.69,44.734,0.771,0.462,0.171,3.869,199.453,4.554
1.0,1.0,404.032,61.651,50.755,58.028,57.104,52.914,47.472,45.401,44.648,44.755,0.373,0.46,0.169,3.887,199.426,3.902
1.0,1.0,404.078,61.715,50.734,58.007,57.104,52.935,47.493,45.359,44.669,44.755,0.279,0.46,0.069,3.902,199.202,3.643
