LS701,LS702,T701,T702,T703,T704,T706,T708,T709,T711,T712,T705,FT703,FT704,PDI701,PDI702,PY23,FYI702
1.0,1.0,399.26755,88.6074,78.232506,84.00015,84.098946,78.98397,72.56452,67.50947,67.201744,67.4157,0.14350271,0.34873152,0.7041626,1.7133446,597.9817,6.8359375
1.0,1.0,399.3609,88.65019,78.25394,83.97897,84.07759,78.94131,72.58575,67.48847,67.201744,67.43686,0.10625842,0.34783435,0.6846142,1.7285728,597.81116,6.375228
1.0,1.0,399.33752,88.6074,78.25394,83.957794,84.05625,78.96264,72.606964,67.48847,67.18058,67.4157,0.118374035,0.34783435,0.7171936,1.7470589,598.1432,6.8292685
1.0,1.0,399.33755,88.6288,78.232506,83.95779,84.098946,78.98397,72.62819,67.48847,67.222916,67.394554,0.12986144,0.34828293,0.7095928,1.7057304,598.2329,7.111111
1.0,1.0,399.31424,88.6502,78.25394,84.00016,84.0776,79.0053,72.58575,67.46745,67.201744,67.4157,0.12986143,0.34792408,0.70199394,1.7155209,598.36755,6.381039
1.0,1.0,399.3609,88.65019,78.275375,83.978966,84.07759,78.96264,72.60697,67.48847,67.1594,67.4157,0.12941268,0.34783435,0.7258835,1.7024708,598.7623,6.822612
1.0,1.0,399.36087,88.65019,78.25394,83.957794,84.09894,78.96264,72.60697,67.46745,67.201744,67.394554,0.14063086,0.34720632,0.72914314,1.6459179,599.22003,6.822612
1.0,1.0,399.33752,88.6502,78.25394,83.97898,84.098946,78.98397,72.606964,67.48847,67.201744,67.43686,0.13955392,0.3475652,0.7041626,1.6883297,598.81616,7.2859745
1.0,1.0,399.4309,88.67159,78.275375,84.02134,84.0776,78.96264,72.606964,67.50947,67.1594,67.43686,0.13838723,0.34720632,0.68569946,1.7187843,598.7265,6.8292685
1.0,1.0,399.4076,88.67159,78.275375,83.95779,84.05625,78.96263,72.60697,67.48847,67.18058,67.4157,0.13901545,0.34720632,0.6889591,1.6752815,599.00464,6.381039
1.0,1.0,399.38422,88.67159,78.275375,83.957794,84.05626,78.98396,72.62819,67.48847,67.201744,67.4157,0.14063086,0.34621945,0.6998215,1.6937695,599.00464,6.822612
1.0,1.0,399.3142,88.62879,78.25394,84.00016,84.098946,79.026634,72.64941,67.50947,67.222916,67.4157,0.14098984,0.3464886,0.67266655,1.639389,599.0137,6.375228
1.0,1.0,399.38422,88.67159,78.25394,84.02134,84.12029,79.026634,72.62819,67.48847,67.201744,67.43686,0.14323348,0.34630919,0.65094566,1.703558,599.0405,6.8292685
1.0,1.0,399.38425,88.6716,78.275375,84.00016,84.098946,79.026634,72.67064,67.48847,67.201744,67.43686,0.13838723,0.34720632,0.6574631,1.6524448,598.94183,6.375228
1.0,1.0,399.45425,88.714386,78.25394,83.97898,84.07759,78.96264,72.71308,67.48847,67.222916,67.43686,0.13919492,0.3464886,0.6715832,1.6948586,598.888,6.9513407
1.0,1.0,399.40756,88.65019,78.25394,83.936615,84.07759,78.96264,72.71308,67.48847,67.201744,67.43686,0.14134882,0.34487373,0.6704941,1.697031,598.84314,6.3868613
1.0,1.0,399.33752,88.67159,78.25394,83.957794,84.07759,79.0053,72.69186,67.48847,67.201744,67.43686,0.13704106,0.34451482,0.6759243,1.7394466,599.0495,6.8292685
1.0,1.0,399.40756,88.69299,78.275375,84.00015,84.098946,79.0053,72.69186,67.48847,67.201744,67.43686,0.1387462,0.34343824,0.62270546,1.6948586,599.0675,6.375228
1.0,1.0,399.4776,88.75718,78.25394,84.00016,84.07759,78.9413,72.69186,67.48847,67.222916,67.4157,0.13919494,0.34200275,0.66506195,1.8166676,599.1303,6.8292685
1.0,1.0,399.45422,88.69298,78.25394,83.936615,84.07759,78.98397,72.69186,67.48847,67.201744,67.43686,0.13587436,0.34254104,0.7345753,1.8645191,599.1303,6.375228
1.0,1.0,399.43088,88.671585,78.25394,83.936615,84.07759,78.96264,72.69186,67.48847,67.201744,67.43686,0.13865647,0.3415541,0.7237148,1.7959995,599.22894,6.8359375
1.0,1.0,399.43088,88.67159,78.25394,83.95779,84.098946,79.02663,72.71308,67.48847,67.201744,67.43686,0.13659231,0.341913,0.65963364,1.85038,599.34564,7.104796
1.0,1.0,399.43088,88.69299,78.25394,84.02134,84.098946,79.026634,72.71308,67.46745,67.222916,67.43686,0.13560514,0.34307933,0.6943855,1.9004097,599.4802,6.381039
1.0,1.0,399.4776,88.73578,78.275375,84.00015,84.120285,79.0053,72.71308,67.50947,67.222916,67.43686,0.13901544,0.34397653,0.68678665,1.896059,599.68665,6.8292685
1.0,1.0,399.47757,88.73578,78.25394,83.957794,84.07759,78.96264,72.71308,67.48847,67.201744,67.43686,0.13488716,0.34469426,0.706337,1.8155804,600.0725,6.375228
